name,toll,magnitude,latitude,longitude,created,length,languages,sections
1556 Shaanxi earthquake,830000,8.0,35,108,2004-12-29T18:49:41Z,9534,38,8
2010 Haiti earthquake,316000,7.0,18.457,-72.533,2010-01-12T22:33:27Z,152622,66,18
1920 Haiyuan earthquake,273400,8.5,36.50,105.70,2008-05-12T11:00:20Z,3995,6,3
115 Antioch earthquake,260000,7.5,36.1,36.1,2011-10-20T14:19:39Z,8922,1,5
526 Antioch earthquake,250000,7.0,36.23,36.12,2009-04-26T03:13:35Z,7572,6,6
1976 Tangshan earthquake,242769,7.8,39.60,118.20,2004-12-27T18:43:15Z,14726,26,13
2004 Indian Ocean earthquake,255000,9.3,3.316,95.854,2004-12-26T09:03:57Z,87424,55,17
1138 Aleppo earthquake,230000,,36.13,37.10,2006-07-27T04:25:23Z,6507,15,4
856 Damghan earthquake,200000,7.9,36.2,54.3,2009-07-10T00:05:02Z,6932,3,7
893 Ardabil earthquake,150000,,38.2,48.2,2009-08-02T23:39:54Z,4170,1,3
1923 Great Kanto earthquake,142800,7.9,35.1,139.5,2003-09-08T05:46:02Z,30263,31,10
1908essina earthquake,150000,7.1,38.15,15.683,2007-04-25T01:46:07Z,10814,15,8
1948 Ashgabat earthquake,110000,7.3,37.95,58.32,2008-05-19T21:59:40Z,4110,9,3
1290 Chihli earthquake,100000,6.8,41.5,119.3,2010-10-29T15:17:32Z,1863,0,2
1755 Lisbon earthquake,55000,8.75,36,-11,2003-10-29T14:49:07Z,26906,39,9
1970 Ancash earthquake,100000,7.9,-9.47,-78.31,2005-09-28T02:53:50Z,3792,10,2
2008 Sichuan earthquake,137816,7.9,31.021,103.367,2008-05-12T07:11:26Z,136815,45,23
2005 Kashmir earthquake,79000,7.6,34.12,73.28,2005-10-08T04:51:20Z,14135,32,7
1667 Shamakhi earthquake,80000,6.9,40.6,48.6,2010-10-29T15:48:29Z,1292,1,2
1868 Ecuador earthquakes,70000,6.7,0.31,-78.18,2010-08-24T15:34:26Z,6294,0,7
1268 Cilicia earthquake,60000,7,37.5,35.5,2007-01-14T21:58:32Z,1982,3,1
1693 Sicily earthquake,60000,7.4,37.3,15.1,2007-12-20T17:34:36Z,24922,6,14
1935 Balochistan earthquake,60000,7.7,28.886,66.383,2006-02-25T16:22:47Z,8861,3,7
1783 Calabrian earthquakes,50000,5.9,38.30,15.97,2009-10-08T20:44:27Z,9240,5,12
1990anjil-Rudbar earthquake,50000,7.4,36.957,49.409,2007-02-11T20:21:57Z,1798,6,1
1927 Gulang earthquake,40900,7.6,37.39,102.31,2010-06-17T17:19:40Z,5448,2,4
1721 Tabriz earthquake,250000,7.7,38.0,46.3,2012-10-09T23:18:27Z,3659,0,1
1797 Riobamba earthquake,40000,8.3,-1.6,-78.6,2010-08-22T14:43:59Z,7440,1,5
1703 Apennine earthquakes,9761,6.7,42.7,13.07,2009-09-25T20:36:34Z,8337,3,12